BG_num,ecc_norm,target_loc,n_fix,scanpath
9,4.0,"[379, 85]",23,"[[313, 313], [346, 256], [412, 256], [577, 313], [511, 313], [313, 541], [247, 541], [247, 313], [247, 199], [214, 142], [82, 142], [82, 484], [214, 370], [544, 142], [49, 313], [478, 370], [445, 541], [412, 598], [313, 85], [313, 85], [379, 85], [379, 85], [379, 85]]"
9,4.0,"[445, 85]",32,"[[313, 313], [247, 313], [214, 370], [313, 427], [280, 484], [478, 370], [247, 85], [181, 85], [82, 370], [115, 313], [346, 28], [511, 427], [511, 427], [544, 256], [478, 142], [577, 313], [181, 541], [181, 427], [181, 427], [82, 484], [610, 370], [379, 313], [412, 598], [610, 370], [16, 256], [511, 199], [214, 598], [115, 541], [445, 85], [445, 85], [445, 85], [445, 85]]"
9,5.0,"[511, 85]",23,"[[313, 313], [247, 199], [247, 199], [247, 199], [313, 85], [181, 427], [214, 370], [280, 484], [247, 541], [412, 142], [379, 85], [544, 256], [412, 28], [577, 427], [379, 541], [445, 427], [49, 199], [511, 313], [610, 370], [610, 370], [115, 541], [511, 85], [511, 85]]"
9,5.0,"[82, 142]",27,"[[313, 313], [313, 427], [313, 427], [445, 199], [544, 142], [313, 85], [82, 256], [148, 256], [214, 256], [49, 313], [115, 427], [16, 370], [181, 541], [313, 541], [544, 256], [478, 256], [412, 28], [82, 484], [478, 256], [478, 484], [280, 256], [214, 370], [247, 541], [82, 142], [82, 142], [82, 142], [82, 142]]"
9,4.0,"[148, 142]",12,"[[313, 313], [478, 370], [445, 427], [544, 484], [478, 370], [346, 484], [214, 484], [181, 541], [181, 313], [148, 142], [148, 142], [148, 142]]"
9,3.0,"[214, 142]",14,"[[313, 313], [280, 256], [412, 370], [379, 427], [544, 370], [577, 313], [544, 256], [511, 427], [445, 85], [115, 427], [247, 541], [214, 598], [214, 142], [214, 142]]"
9,3.0,"[280, 142]",25,"[[313, 313], [214, 256], [181, 313], [115, 313], [148, 256], [16, 370], [313, 541], [412, 484], [445, 427], [544, 370], [478, 142], [478, 256], [346, 142], [82, 142], [148, 142], [214, 484], [148, 484], [214, 484], [478, 370], [346, 484], [280, 28], [280, 142], [280, 142], [280, 142], [280, 142]]"
9,3.0,"[346, 142]",5,"[[313, 313], [478, 256], [346, 142], [346, 142], [346, 142]]"
9,3.0,"[412, 142]",19,"[[313, 313], [346, 256], [478, 370], [181, 427], [247, 427], [313, 541], [148, 370], [148, 370], [577, 427], [148, 256], [16, 256], [214, 598], [346, 256], [412, 256], [445, 313], [412, 142], [412, 142], [412, 142], [412, 142]]"
9,4.0,"[478, 142]",27,"[[313, 313], [445, 313], [247, 427], [247, 313], [313, 541], [214, 598], [82, 370], [115, 85], [148, 142], [148, 142], [82, 142], [346, 142], [247, 85], [247, 199], [280, 370], [280, 370], [412, 484], [478, 484], [148, 484], [82, 484], [610, 370], [511, 199], [445, 199], [511, 85], [478, 142], [478, 142], [478, 142]]"
9,5.0,"[544, 142]",23,"[[313, 313], [214, 370], [148, 484], [346, 370], [445, 427], [379, 541], [346, 142], [247, 85], [313, 85], [478, 484], [511, 541], [478, 370], [511, 541], [511, 541], [115, 85], [181, 85], [49, 427], [214, 598], [412, 142], [577, 199], [544, 142], [544, 142], [544, 142]]"
9,5.0,"[49, 199]",18,"[[313, 313], [214, 370], [247, 199], [412, 142], [346, 28], [280, 256], [478, 142], [544, 142], [280, 370], [280, 484], [346, 484], [577, 313], [478, 370], [544, 256], [115, 199], [49, 199], [49, 199], [49, 199]]"
9,4.0,"[115, 199]",13,"[[313, 313], [379, 427], [280, 370], [214, 484], [214, 484], [247, 427], [445, 313], [544, 256], [445, 85], [412, 142], [115, 199], [115, 199], [115, 199]]"
9,3.0,"[181, 199]",5,"[[313, 313], [181, 313], [181, 199], [181, 199], [181, 199]]"
9,2.0,"[247, 199]",5,"[[313, 313], [280, 256], [412, 256], [247, 199], [247, 199]]"
9,2.0,"[313, 199]",4,"[[313, 313], [379, 199], [313, 199], [313, 199]]"
9,2.0,"[379, 199]",17,"[[313, 313], [181, 427], [181, 541], [148, 484], [148, 256], [412, 142], [16, 256], [412, 370], [445, 427], [280, 484], [280, 256], [280, 370], [82, 370], [280, 142], [346, 598], [379, 199], [379, 199]]"
9,3.0,"[445, 199]",6,"[[313, 313], [379, 313], [379, 199], [445, 199], [445, 199], [445, 199]]"
9,4.0,"[511, 199]",42,"[[313, 313], [280, 370], [214, 370], [181, 313], [247, 313], [49, 313], [82, 370], [16, 370], [346, 142], [478, 256], [445, 313], [379, 541], [313, 541], [544, 370], [577, 427], [511, 85], [280, 28], [181, 85], [115, 199], [115, 85], [181, 541], [115, 541], [82, 484], [610, 256], [412, 370], [379, 199], [610, 256], [445, 541], [511, 541], [16, 256], [412, 28], [346, 142], [346, 256], [181, 427], [115, 541], [379, 541], [346, 484], [379, 313], [544, 256], [511, 313], [511, 199], [511, 199]]"
